churn,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0,-0.23,1.34,-0.78,0.56,1.89,-1.23,0.45,1.67,-0.89,0.12
1,1.78,-1.45,0.67,-0.34,0.91,1.23,-0.56,0.89,-1.67,1.45
0,0.45,-0.67,1.23,-1.89,0.34,0.78,-1.45,0.56,1.12,-0.34
1,-1.56,0.89,1.67,-0.45,1.23,0.67,-0.78,1.34,-0.56,0.91
0,0.78,1.23,-1.34,0.67,-0.89,1.56,0.23,-1.12,0.45,-1.67
1,1.34,-0.56,0.78,1.45,-1.23,0.34,1.67,-0.89,0.56,1.12
0,-1.12,0.67,-0.45,1.89,0.56,-1.67,0.89,0.34,-1.23,0.78
0,0.56,-1.78,1.45,-0.67,0.89,1.23,-0.34,1.56,-0.78,0.45
1,1.89,0.45,-1.56,0.78,1.34,-0.89,1.12,0.23,-1.45,0.67
0,-0.89,1.67,0.34,-1.23,0.45,0.78,1.56,-1.34,0.67,-0.56
1,1.23,-0.34,0.89,1.67,-0.78,1.45,0.56,-1.12,1.34,-0.89
0,0.34,0.78,-1.45,0.56,1.67,-0.34,0.89,1.23,-1.56,0.45
0,-1.67,1.23,0.56,-0.89,1.45,0.67,-1.34,0.78,1.12,-1.23
1,0.89,-1.23,1.78,0.45,-0.67,1.56,0.34,-0.78,0.67,1.89
0,1.56,0.34,-0.78,1.23,-1.45,0.89,0.67,1.78,-0.45,0.56
1,-0.67,1.89,0.78,-1.56,0.34,1.12,1.45,-0.56,0.89,-1.34
0,0.67,-0.89,1.34,0.78,-1.67,0.45,1.23,0.56,-1.12,1.45
0,1.45,1.12,-0.56,0.89,0.34,-1.89,0.78,1.67,-0.67,0.23
1,-1.34,0.56,1.45,-0.78,1.89,0.67,-1.12,0.34,1.56,-0.89
0,0.78,-1.56,0.45,1.67,-0.34,1.23,0.89,-1.45,0.56,1.34
1,1.67,0.89,-1.23,0.34,1.45,-0.67,0.56,1.12,-1.78,0.45
0,-0.45,0.67,1.56,-1.12,0.89,1.78,-0.89,0.34,1.23,-1.45
0,1.12,-1.67,0.34,1.56,-0.89,0.45,1.34,-0.56,0.78,0.67
1,0.56,1.45,-0.67,0.89,1.23,-1.34,0.78,1.67,-1.12,0.34
0,-1.89,0.78,1.12,-0.45,0.67,1.45,0.23,-1.56,0.89,1.23
0,0.89,0.34,-1.78,1.23,0.56,-0.89,1.67,0.45,-0.67,1.56
1,1.34,-0.78,0.67,1.89,-1.45,0.56,1.12,0.89,-1.34,0.78
0,-0.56,1.78,0.89,-1.67,0.34,1.23,0.45,-0.78,1.56,-1.12
1,0.67,-1.12,1.56,0.45,-0.89,1.34,0.78,-1.67,0.23,0.89
0,1.78,0.56,-0.89,1.12,-1.23,0.67,1.45,0.34,-0.56,1.67
0,-1.23,0.89,0.45,1.34,-0.67,1.56,0.78,-1.45,1.12,-0.34
1,0.45,-0.34,1.67,0.78,1.23,-1.56,0.89,1.45,-0.89,0.56
0,1.89,1.34,-1.12,0.56,0.78,-0.45,1.67,0.23,-1.78,0.89
0,-0.78,0.56,1.23,-0.89,1.45,0.34,-1.67,0.89,0.67,1.12
1,1.56,-1.34,0.78,1.12,-0.56,0.89,0.45,1.67,-1.23,0.34
0,0.34,1.67,-0.45,0.89,1.56,-0.78,1.23,0.56,-1.34,0.67
1,-1.45,0.67,1.89,0.34,-1.12,1.23,0.78,-0.89,1.45,0.56
0,0.89,-0.56,0.67,1.78,-1.67,0.45,1.34,1.12,-0.78,0.23
0,1.23,0.78,-1.56,0.34,0.89,1.67,-0.67,0.56,1.45,-1.89
1,0.67,1.45,-0.78,1.34,0.56,-1.23,0.89,1.78,-0.45,0.67
0,-1.67,1.12,0.89,-0.34,1.23,0.56,1.45,-1.12,0.78,0.34
1,1.45,-0.89,1.34,0.67,-0.45,1.78,0.56,0.89,-1.56,1.23
0,0.56,0.89,-1.45,1.56,0.34,-0.67,1.12,0.78,-0.89,1.67
0,-0.89,1.56,0.45,-1.23,0.78,1.34,0.67,-1.78,1.12,0.23
1,1.12,-0.45,0.89,1.67,-1.34,0.56,1.23,0.34,-0.67,0.78
0,0.78,1.34,-0.56,0.45,1.89,-1.45,0.67,1.56,-1.12,0.34
1,-1.56,0.34,1.67,0.78,-0.89,1.12,0.89,-0.56,1.45,0.67
0,0.45,-1.67,1.12,0.89,-0.34,0.78,1.56,0.23,-1.23,1.34
1,1.67,0.67,-1.34,1.23,0.89,-0.78,0.45,1.12,-1.89,0.56
0,-0.34,0.78,1.45,-0.67,1.23,0.56,-1.12,0.89,1.67,-0.45
