feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,churn
0.567,-1.234,0.345,1.678,-0.891,0.234,1.456,-0.678,0.912,-1.345,1
-1.234,0.789,-0.456,0.123,1.890,-0.567,0.234,0.891,-1.567,0.345,0
0.891,1.456,-0.789,0.567,-0.234,1.123,-0.456,0.789,1.234,-0.567,1
-0.345,0.234,1.567,-0.891,0.456,-1.234,0.678,0.123,-0.789,1.456,0
1.234,-0.567,0.891,-0.234,1.456,0.678,-0.891,1.123,0.345,-0.234,1
-0.789,1.123,0.234,-1.456,0.567,0.891,-0.234,0.456,-1.123,0.678,0
0.456,-0.891,1.234,0.678,-1.567,0.345,1.890,-0.456,0.234,-0.891,1
1.567,0.345,-1.123,0.891,0.234,-0.678,0.456,1.234,-0.345,0.789,0
-0.234,0.678,0.891,-0.567,1.234,-0.345,0.123,0.891,1.567,-1.234,1
0.789,-1.456,0.567,1.234,-0.678,1.456,-0.789,0.234,0.678,-0.345,0
-1.123,0.456,-0.234,0.789,0.891,-1.567,1.234,0.567,-0.456,1.123,0
0.345,1.234,-0.567,-0.891,0.678,0.234,-1.234,0.891,0.456,-0.678,1
1.456,-0.234,0.789,-1.123,0.345,0.567,0.891,-1.456,1.234,0.234,1
-0.567,0.891,1.456,0.234,-0.345,1.789,-0.567,0.123,-0.891,0.456,0
0.234,-0.678,-0.891,1.456,0.567,-0.234,0.789,0.345,1.123,-1.567,1
0.678,0.123,1.234,-0.456,-1.234,0.891,0.345,-0.789,0.567,1.456,0
-1.456,1.789,0.456,-0.234,0.891,-0.567,1.234,0.678,-1.123,0.345,1
0.891,-0.345,0.567,0.789,-0.456,1.234,-0.891,0.456,0.234,-0.789,0
1.123,0.567,-1.234,0.345,1.456,-0.891,0.678,1.234,-0.567,0.891,1
-0.891,0.234,0.678,-1.567,0.345,0.456,-0.234,0.891,1.234,-0.456,0
0.567,1.345,-0.456,0.891,-1.234,0.678,0.234,-0.891,0.456,1.123,1
-0.234,-1.123,0.891,0.456,0.789,-0.345,1.456,0.234,-0.678,0.567,0
1.234,0.456,-0.789,-0.567,0.123,1.567,-0.345,0.678,0.891,-1.234,1
-0.678,0.789,0.345,1.234,-0.891,0.234,0.567,-1.456,1.123,0.456,0
0.456,-0.567,1.123,0.234,-0.345,0.891,-0.678,1.456,0.789,-0.234,1
0.789,1.456,-0.234,-1.123,0.567,0.345,0.891,-0.456,0.234,0.678,0
-1.234,0.345,0.891,0.567,-0.678,1.234,0.456,-0.789,0.123,1.456,1
0.345,-0.891,0.678,1.456,-0.234,0.567,1.123,-0.345,0.891,-0.567,0
1.567,0.234,-0.456,0.891,0.678,-1.234,0.345,0.789,-1.123,0.456,1
-0.456,1.123,0.567,-0.891,1.234,0.345,-0.567,0.234,0.678,-0.789,0
0.891,-0.234,1.456,0.678,-0.567,0.789,0.123,-1.234,0.456,0.345,1
-0.789,0.567,0.234,-0.345,0.891,1.456,-0.891,0.678,1.234,-1.123,1
0.234,0.891,-1.234,1.567,0.456,-0.678,0.789,0.345,-0.456,0.567,0
1.456,-1.567,0.789,0.234,-0.891,0.456,0.678,1.123,-0.234,0.891,1
-0.567,0.345,0.456,-0.789,1.234,0.891,-1.456,0.234,0.678,0.123,0
0.678,1.234,-0.891,0.456,0.789,-0.345,0.567,0.891,-0.678,1.456,0
-1.123,0.678,1.456,-0.567,0.234,0.789,0.345,-0.891,1.234,0.456,1
0.456,-0.345,0.234,0.891,-1.234,1.567,0.678,-0.567,0.123,0.789,0
0.789,0.567,-0.678,1.234,0.345,-0.891,1.456,0.234,-1.123,0.678,1
-0.345,1.456,0.891,-1.234,0.678,0.234,-0.567,1.123,0.456,-0.789,0
1.123,-0.789,0.567,0.345,1.234,-0.456,0.891,0.678,-0.234,1.456,1
-0.891,0.123,0.789,-0.456,0.567,1.234,-0.345,0.456,0.891,-1.567,1
