transaction_id,customer_id,customer_name,amount,status,timestamp
5001,150,John Doe,1250.50,completed,2024-02-15 14:30:22
5002,237,Jane Smith,450.75,pending,2024-02-15 14:35:18
5003,489,Bob Wilson,3200.00,completed,2024-02-15 14:40:55
5004,156,Alice Johnson,89.99,failed,2024-02-15 14:45:12
5005,723,Charlie Brown,1500.25,completed,2024-02-15 14:50:33
5006,891,Diana Prince,275.00,refunded,2024-02-15 14:55:44
5007,334,Edward Norton,4750.00,completed,2024-02-15 15:00:21
5008,512,Fiona Apple,125.50,pending,2024-02-15 15:05:09
5009,678,George Martin,890.00,completed,2024-02-15 15:10:47
5010,245,Helen Mirren,2100.75,completed,2024-02-15 15:15:28
5011,456,Ivan Drago,350.00,failed,2024-02-15 15:20:15
5012,789,Julia Roberts,1875.50,completed,2024-02-15 15:25:39
5013,123,Kevin Hart,95.25,pending,2024-02-15 15:30:52
5014,567,Laura Palmer,3500.00,completed,2024-02-15 15:35:18
5015,890,Michael Scott,425.75,refunded,2024-02-15 15:40:44
5016,234,Nancy Drew,1650.00,completed,2024-02-15 15:45:21
5017,678,Oliver Twist,75.50,failed,2024-02-15 15:50:33
5018,901,Patricia Hill,2250.25,completed,2024-02-15 15:55:47
5019,345,Quentin Tarantino,4100.00,completed,2024-02-15 16:00:19
5020,567,Rachel Green,185.75,pending,2024-02-15 16:05:28
5021,789,Steven King,925.50,completed,2024-02-15 16:10:42
5022,912,Tina Fey,1300.00,completed,2024-02-15 16:15:55
5023,234,Uma Thurman,550.25,failed,2024-02-15 16:20:18
5024,456,Victor Hugo,3750.00,completed,2024-02-15 16:25:33
5025,678,Wendy Williams,215.50,refunded,2024-02-15 16:30:47
5026,890,Xavier Woods,1950.75,completed,2024-02-15 16:35:21
5027,123,Yolanda King,88.00,pending,2024-02-15 16:40:39
5028,345,Zachary Quinto,2850.50,completed,2024-02-15 16:45:52
5029,567,Amy Adams,475.25,completed,2024-02-15 16:50:18
5030,789,Brian Cox,1125.00,failed,2024-02-15 16:55:44
5031,901,Catherine Zeta,3300.75,completed,2024-02-15 17:00:29
5032,234,David Lynch,195.50,pending,2024-02-15 17:05:37
5033,456,Emma Stone,2475.00,completed,2024-02-15 17:10:51
5034,678,Frank Sinatra,825.25,completed,2024-02-15 17:15:19
5035,890,Grace Kelly,1575.50,refunded,2024-02-15 17:20:42
5036,123,Henry Ford,4250.00,completed,2024-02-15 17:25:58
5037,345,Iris Murdoch,315.75,failed,2024-02-15 17:30:23
5038,567,James Bond,2650.50,completed,2024-02-15 17:35:47
5039,789,Karen Walker,145.00,pending,2024-02-15 17:40:15
5040,901,Leonard Cohen,3850.25,completed,2024-02-15 17:45:39
5041,234,Monica Geller,525.50,completed,2024-02-15 17:50:52
5042,456,Norman Bates,1875.00,failed,2024-02-15 17:55:18
5043,678,Olivia Pope,735.75,completed,2024-02-15 18:00:44
5044,890,Peter Parker,2925.50,completed,2024-02-15 18:05:29
5045,123,Quinn Fabray,185.25,refunded,2024-02-15 18:10:37
5046,345,Ross Geller,4500.00,completed,2024-02-15 18:15:51
5047,567,Sarah Connor,625.50,pending,2024-02-15 18:20:19
5048,789,Tony Stark,3125.75,completed,2024-02-15 18:25:42
5049,901,Ursula Le Guin,285.00,completed,2024-02-15 18:30:58
5050,234,Violet Beauregarde,1425.50,failed,2024-02-15 18:35:23
5051,456,Walter White,2175.25,completed,2024-02-15 18:40:47
5052,678,Xena Warrior,95.75,pending,2024-02-15 18:45:15
5053,890,Yvonne Strahovski,3475.00,completed,2024-02-15 18:50:39
5054,123,Zoe Barnes,545.50,completed,2024-02-15 18:55:52
5055,345,Aaron Sorkin,1950.25,refunded,2024-02-15 19:00:18
5056,567,Bella Swan,4825.00,completed,2024-02-15 19:05:44
5057,789,Carl Sagan,375.75,failed,2024-02-15 19:10:29
5058,901,Donna Noble,2550.50,completed,2024-02-15 19:15:37
5059,234,Ethan Hunt,165.00,pending,2024-02-15 19:20:51
5060,456,Felicia Day,3650.25,completed,2024-02-15 19:25:19
5061,678,Gary Oldman,825.50,completed,2024-02-15 19:30:42
5062,890,Hannah Montana,1275.75,failed,2024-02-15 19:35:58
5063,123,Isaac Newton,2825.00,completed,2024-02-15 19:40:23
5064,345,Jessica Jones,425.50,refunded,2024-02-15 19:45:47
5065,567,Kyle Reese,3925.25,completed,2024-02-15 19:50:15
5066,789,Leslie Knope,685.75,pending,2024-02-15 19:55:39
5067,901,Martin Luther,2375.50,completed,2024-02-15 20:00:52
5068,234,Natalie Portman,1125.00,completed,2024-02-15 20:05:18
5069,456,Oscar Wilde,4675.25,completed,2024-02-15 20:10:44
5070,678,Phoebe Buffay,245.50,failed,2024-02-15 20:15:29
5071,890,Quincy Jones,3275.75,completed,2024-02-15 20:20:37
5072,123,Rita Hayworth,875.00,pending,2024-02-15 20:25:51
5073,345,Samantha Carter,2075.50,completed,2024-02-15 20:30:19
5074,567,Theodore Roosevelt,525.25,refunded,2024-02-15 20:35:42
5075,789,Ulysses Grant,4125.00,completed,2024-02-15 20:40:58
5076,901,Veronica Mars,1625.75,completed,2024-02-15 20:45:23
5077,234,William Shakespeare,345.50,failed,2024-02-15 20:50:47
5078,456,Xander Harris,2725.25,completed,2024-02-15 20:55:15
5079,678,Ygritte Snow,785.00,pending,2024-02-15 21:00:39
5080,890,Zelda Fitzgerald,3575.50,completed,2024-02-15 21:05:52
