EventID,TimeGenerated,Source,EventType,Message,Data
24577,2024-01-15 08:23:14,Microsoft-Windows-BitLocker-API,Information,BitLocker recovery key backup to Azure AD succeeded for volume C:. Recovery key: 123456-789012-345678-901234-567890-123456-789012-345678,RecoveryKeyID={A3B2C1D4-E5F6-7890-1234-567890ABCDEF}
1000,2024-01-15 08:25:33,Service Control Manager,Information,Windows Update service entered the running state.,ServiceName=wuauserv
24578,2024-01-15 09:14:22,Microsoft-Windows-BitLocker-API,Information,Recovery key accessed for volume D:. Key identifier: MTIzNDU2Nzg5MDEyMzQ1Njc4OTAxMjM0NTY3ODkwMTIzNDU2Nzg5MDEyMzQ1Njc4OTAxMjM0NTY3ODkwMTIzNDU2Nzg5MDEyMzQ1Njc4OTAxMjM0NTY3ODkwMTI=,AccessReason=UserInitiated
6005,2024-01-15 09:30:45,EventLog,Information,The Event log service was started.,ServiceState=Running
24577,2024-01-15 10:05:18,Microsoft-Windows-BitLocker-API,Information,BitLocker drive encryption recovery key backup completed. Key: 234567890123456789012345678901234567890123456789,VolumeGUID={12345678-1234-1234-1234-123456789012}
1001,2024-01-15 10:15:27,Service Control Manager,Warning,Service failed to start: Print Spooler,ErrorCode=1068
24579,2024-01-15 11:22:36,Microsoft-Windows-BitLocker-API,Information,Recovery information backed up successfully. Key data: 345678 901234 567890 123456 789012 345678 901234 567890,BackupLocation=ActiveDirectory
6006,2024-01-15 11:45:52,EventLog,Information,The Event log service was stopped.,ServiceState=Stopped
1000,2024-01-15 12:03:41,Application Error,Error,Faulting application name: explorer.exe,ExceptionCode=0xc0000005
24577,2024-01-15 12:30:15,Microsoft-Windows-BitLocker-API,Information,Recovery key for volume E: hex format: 343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839,ProtectionMethod=TPM
1000,2024-01-15 13:15:28,Service Control Manager,Information,DHCP Client service started successfully.,ServiceName=Dhcp
24578,2024-01-15 13:45:33,Microsoft-Windows-BitLocker-API,Information,BitLocker recovery key backup initiated. Key: 456789-012345-678901-234567-890123-456789-012345-678901,VolumeLabel=DATA
6005,2024-01-15 14:00:47,EventLog,Information,The Event log service was started.,ServiceState=Running
24577,2024-01-15 14:22:19,Microsoft-Windows-BitLocker-API,Information,Recovery key backup to network location completed: 567890123456789012345678901234567890123456789012,NetworkPath=\\server\bitlocker
1001,2024-01-15 14:35:52,Service Control Manager,Error,The Windows Firewall service terminated unexpectedly.,ServiceName=MpsSvc
24579,2024-01-15 15:10:24,Microsoft-Windows-BitLocker-API,Information,BitLocker recovery information. Encoded key: NTY3ODkwLTEyMzQ1Ni03ODkwMTItMzQ1Njc4LTkwMTIzNC01Njc4OTAtMTIzNDU2LTc4OTAxMg==,RecoveryMethod=Password
1000,2024-01-15 15:30:38,Application,Information,Application installed successfully: Microsoft Office 2019,InstallStatus=Success
6006,2024-01-15 16:00:15,EventLog,Information,The Event log service was stopped.,ServiceState=Stopped
24577,2024-01-15 16:15:42,Microsoft-Windows-BitLocker-API,Information,Recovery key for encrypted volume: 678901 234567 890123 456789 012345 678901 234567 890123,VolumeType=Fixed
1000,2024-01-15 16:45:29,Service Control Manager,Information,Background Intelligent Transfer Service entered running state.,ServiceName=BITS
24578,2024-01-15 17:05:51,Microsoft-Windows-BitLocker-API,Warning,Recovery key validation failed. Invalid checksum detected: 123456-789012-345678-901235-567890-123456-789012-345679,ErrorCode=0x80310022
1001,2024-01-15 17:20:33,Service Control Manager,Warning,Service did not respond to start request: Windows Search,ServiceName=WSearch
24577,2024-01-15 17:45:18,Microsoft-Windows-BitLocker-API,Information,BitLocker recovery key archived. Key data: 789012345678901234567890123456789012345678901234,ArchiveTime=2024-01-15T17:45:18Z
6005,2024-01-15 18:00:22,EventLog,Information,The Event log service was started.,ServiceState=Running
1000,2024-01-15 18:15:47,Application,Information,System restore point created successfully.,RestorePointID=45
24579,2024-01-15 18:40:33,Microsoft-Windows-BitLocker-API,Information,Recovery password backup completed for volume. Password: 890123-456789-012345-678901-234567-890123-456789-012345,BackupStatus=Success
1000,2024-01-15 19:00:28,Service Control Manager,Information,Task Scheduler service started successfully.,ServiceName=Schedule
24577,2024-01-15 19:25:41,Microsoft-Windows-BitLocker-API,Information,BitLocker key protector added. Recovery key hex: 383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233,KeyProtectorType=RecoveryPassword
6006,2024-01-15 19:45:52,EventLog,Information,The Event log service was stopped.,ServiceState=Stopped
1001,2024-01-15 20:00:15,Application Error,Error,Application crash detected: chrome.exe,ExceptionCode=0xc0000409
24578,2024-01-15 20:30:27,Microsoft-Windows-BitLocker-API,Information,Recovery information updated. Key: 901234 567890 123456 789012 345678 901234 567890 123456,UpdateReason=PolicyChange
1000,2024-01-15 20:50:38,Service Control Manager,Information,Windows Defender service started.,ServiceName=WinDefend
24577,2024-01-15 21:15:44,Microsoft-Windows-BitLocker-API,Information,Recovery key backup to USB completed: 012345678901234567890123456789012345678901234567,BackupDevice=USB_Drive_E
6005,2024-01-15 21:30:19,EventLog,Information,The Event log service was started.,ServiceState=Running
24579,2024-01-15 21:50:33,Microsoft-Windows-BitLocker-API,Warning,Partial recovery key detected in backup: 123456-234567-345678-456789,ErrorCode=0x80310021
1000,2024-01-15 22:10:42,Service Control Manager,Information,Network Location Awareness service entered running state.,ServiceName=NlaSvc
24577,2024-01-15 22:35:28,Microsoft-Windows-BitLocker-API,Information,BitLocker recovery key encoded format: MDEyMzQ1LTY3ODkwMS0yMzQ1NjctODkwMTIzLTQ1Njc4OS0wMTIzNDUtNjc4OTAxLTIzNDU2Nw==,EncodingType=Base64
1001,2024-01-15 22:50:51,Application,Warning,Application pool stopped: DefaultAppPool,IISStatus=Stopped
6006,2024-01-15 23:00:14,EventLog,Information,The Event log service was stopped.,ServiceState=Stopped
24578,2024-01-15 23:20:37,Microsoft-Windows-BitLocker-API,Information,Recovery key access logged. Key identifier: 123456789012345678901234567890123456789012345678,AccessMethod=LocalAdministrator
1000,2024-01-15 23:40:22,Service Control Manager,Information,Remote Desktop Services started successfully.,ServiceName=TermService
24577,2024-01-16 00:05:48,Microsoft-Windows-BitLocker-API,Information,BitLocker recovery password saved: 234567-890123-456789-012345-678901-234567-890123-456789,SaveLocation=RecoveryFile
6005,2024-01-16 00:30:15,EventLog,Information,The Event log service was started.,ServiceState=Running
1000,2024-01-16 01:00:33,Application,Information,Windows Update completed successfully.,UpdateKB=KB5034441
24579,2024-01-16 01:25:47,Microsoft-Windows-BitLocker-API,Error,Recovery key validation failed - incorrect checksum: 345678-901234-567890-123457-789012-345678-901234-567891,ValidationError=ChecksumMismatch
1001,2024-01-16 01:45:28,Service Control Manager,Error,Service failed to start within timeout period: SQL Server,ServiceName=MSSQLSERVER
24577,2024-01-16 02:10:36,Microsoft-Windows-BitLocker-API,Information,Recovery key for system volume: 345678901234567890123456789012345678901234567890,VolumeType=OperatingSystem
6006,2024-01-16 02:30:52,EventLog,Information,The Event log service was stopped.,ServiceState=Stopped
1000,2024-01-16 03:00:18,Service Control Manager,Information,Cryptographic Services started successfully.,ServiceName=CryptSvc
24578,2024-01-16 03:25:41,Microsoft-Windows-BitLocker-API,Information,BitLocker recovery data backup completed. Key format: 456789 012345 678901 234567 890123 456789 012345 678901,BackupProtocol=HTTPS
1000,2024-01-16 03:50:29,Application,Information,System memory dump created successfully.,DumpType=Minidump
6005,2024-01-16 04:00:44,EventLog,Information,The Event log service was started.,ServiceState=Running
24577,2024-01-16 04:30:15,Microsoft-Windows-BitLocker-API,Information,Recovery key backed up to Azure. Hex representation: 343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839,AzureBackupID=ABD123456
1001,2024-01-16 05:00:37,Service Control Manager,Warning,Service stopped responding: Superfetch,ServiceName=SysMain
24579,2024-01-16 05:25:48,Microsoft-Windows-BitLocker-API,Information,Recovery password access event. Password: 567890-123456-789012-345678-901234-567890-123456-789012,AccessType=RemoteManagement
1000,2024-01-16 05:50:22,Application Error,Error,Application hang detected: outlook.exe,HangDuration=30seconds
24577,2024-01-16 06:15:33,Microsoft-Windows-BitLocker-API,Information,BitLocker drive recovery key: 678901234567890123456789012345678901234567890123,DriveProtection=AES256
6006,2024-01-16 06:30:47,EventLog,Information,The Event log service was stopped.,ServiceState=Stopped
1000,2024-01-16 07:00:19,Service Control Manager,Information,Windows Time service synchronized successfully.,ServiceName=W32Time
24578,2024-01-16 07:25:38,Microsoft-Windows-BitLocker-API,Warning,Recovery key partially corrupted during backup: 789012-345678-901234-5,CorruptionReason=DiskError
1001,2024-01-16 07:50:42,Application,Warning,Certificate store update failed.,ErrorCode=0x80092004
6005,2024-01-16 08:00:28,EventLog,Information,The Event log service was started.,ServiceState=Running
24577,2024-01-16 08:30:51,Microsoft-Windows-BitLocker-API,Information,Recovery key backup successful. Encoded: Njc4OTAxLTIzNDU2Ny04OTAxMjMtNDU2Nzg5LTAxMjM0NS02Nzg5MDEtMjM0NTY3LTg5MDEyMw==,BackupMethod=NetworkShare
1000,2024-01-16 09:00:14,Service Control Manager,Information,Distributed Transaction Coordinator service started.,ServiceName=MSDTC
24579,2024-01-16 09:25:36,Microsoft-Windows-BitLocker-API,Information,Recovery information for removable drive. Key: 789012 345678 901234 567890 123456 789012 345678 901234,DriveType=Removable
1000,2024-01-16 09:50:47,Application,Information,Group Policy update completed successfully.,PolicyVersion=1234
24577,2024-01-16 10:15:29,Microsoft-Windows-BitLocker-API,Information,BitLocker recovery key for data volume: 890123456789012345678901234567890123456789012345,VolumeLabel=BACKUP
6006,2024-01-16 10:30:33,EventLog,Information,The Event log service was stopped.,ServiceState=Stopped
1001,2024-01-16 11:00:18,Service Control Manager,Error,Service control request failed: Windows Backup,ErrorCode=1056
24578,2024-01-16 11:25:44,Microsoft-Windows-BitLocker-API,Error,Invalid recovery key format detected: 901234-567890-123456-789012-345678-901235-567890-123457,ValidationStatus=Failed
1000,2024-01-16 11:50:27,Application,Information,Security policy update applied successfully.,PolicyGUID={9A8B7C6D-5E4F-3210-ABCD-EF1234567890}
6005,2024-01-16 12:00:39,EventLog,Information,The Event log service was started.,ServiceState=Running
24577,2024-01-16 12:30:52,Microsoft-Windows-BitLocker-API,Information,Recovery key archived to enterprise vault. Key: 901234 567890 123456 789012 345678 901234 567890 123456,VaultID=VAULT-2024-001
