patron_id,first_name,last_name,birth_year,zip_code
B001,Catherine,Johnson,1978,45202
B002,Michael,Brown,1965,60614
B003,Jon,Davis,1982,30303
B004,Steven,Miller,1990,80202
B005,Christine,Wilson,1973,10001
B006,Robert,Anderson,1956,94102
B007,MacDonald,Taylor,1988,33101
B008,Katherine,Thomson,1985,45202
B009,Elisabeth,Martinez,1992,75201
B010,Stephen,Garcia,1968,98101
B011,Kristine,Rodriguez,1995,85001
B012,Daniel,Lee,1983,19102
B013,Katherine,Johnson,1978,45202
B014,Jeffrey,White,1971,02101
B015,John,Davies,1982,30303
B016,Michelle,Harris,1987,78701
B017,Christopher,Clark,1963,53202
B018,Kathryn,Lewis,1976,90210
B019,Smyth,Walker,1959,55401
B020,Steven,Millar,1990,80202
B021,Jennifer,Hall,1984,20001
B022,Matthew,Allen,1969,97201
B023,Sarah,Young,1993,32801
B024,Elizabeth,Martinez,1992,75201
B025,David,King,1975,80111
B026,Christine,Wright,1973,10001
B027,James,Lopez,1961,33130
B028,Lisa,Hill,1989,60614
B029,Andrew,Scott,1996,45202
B030,Margaret,Green,1954,94102
B031,Kristine,Adams,1979,48201
B032,Thomas,Baker,1967,19102
B033,Stephen,Garcia,1968,98101
B034,Nicole,Nelson,1991,75201
B035,Richard,Carter,1972,30303
